epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,60.3379,0.54174,0.43286,0.93735,0.9635,0.94233,0.98249,0.88386,0.45755,0.4231,0.87462,0.00113898,0.00113898,0.00113898
43,61.7089,0.52859,0.42456,0.91274,0.94639,0.91428,0.93067,0.81487,0.50084,0.38801,0.90987,0.00113191,0.00113191,0.00113191
44,63.0639,0.52746,0.43498,0.95368,0.91306,0.74507,0.83311,0.685,0.64622,0.59674,1.01097,0.00112484,0.00112484,0.00112484
45,64.4485,0.52599,0.44261,0.93375,0.92195,0.8569,0.92986,0.78923,0.51169,0.50451,0.92141,0.00111776,0.00111776,0.00111776
46,66.0132,0.53378,0.44524,0.9357,0.88308,0.97938,0.98505,0.90101,0.43479,0.41,0.85004,0.00111069,0.00111069,0.00111069
47,67.3648,0.53332,0.4363,0.94434,0.98674,0.99463,0.9931,0.91495,0.4398,0.31044,0.85943,0.00110362,0.00110362,0.00110362
48,68.7984,0.58299,0.4836,0.9944,0.97095,1,0.99424,0.90984,0.48059,0.36891,0.87883,0.00109654,0.00109654,0.00109654
49,70.1519,0.49109,0.38694,0.92861,0.98456,1,0.99436,0.91272,0.44893,0.3583,0.85894,0.00108947,0.00108947,0.00108947
50,71.5098,0.50235,0.39417,0.92194,0.98892,0.97661,0.99305,0.92874,0.41389,0.33096,0.84189,0.0010824,0.0010824,0.0010824
51,72.9561,0.50585,0.40966,0.92823,0.98124,0.96651,0.99033,0.90508,0.43368,0.36408,0.85589,0.00107532,0.00107532,0.00107532
52,74.3106,0.52603,0.44973,0.96076,0.9884,0.98579,0.99454,0.9116,0.42701,0.31093,0.85651,0.00106825,0.00106825,0.00106825
53,75.6616,0.53468,0.43999,0.94382,0.98577,0.9629,0.9939,0.90973,0.44365,0.34987,0.85866,0.00106118,0.00106118,0.00106118
54,77.0333,0.50581,0.4259,0.95786,0.97398,0.98761,0.99374,0.90506,0.42755,0.38073,0.86061,0.0010541,0.0010541,0.0010541
55,78.3754,0.5019,0.39593,0.91513,0.99159,0.99327,0.99374,0.90603,0.44167,0.32829,0.8632,0.00104703,0.00104703,0.00104703
56,79.9896,0.49136,0.39942,0.91595,0.98792,0.97636,0.99165,0.91075,0.42154,0.30197,0.85054,0.00103995,0.00103995,0.00103995
