epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,261.297,0.26138,0.20424,0.84406,0.99868,1,0.995,0.99133,0.20658,0.14227,0.7649,0.000127467,0.000127467,0.000127467
186,262.72,0.24428,0.1955,0.8406,0.99856,1,0.995,0.99069,0.18904,0.13525,0.7594,0.000120393,0.000120393,0.000120393
187,264.087,0.24514,0.18605,0.82782,0.99856,1,0.995,0.99292,0.18871,0.1352,0.75894,0.00011332,0.00011332,0.00011332
188,265.456,0.24978,0.19187,0.8522,0.99852,1,0.995,0.99129,0.1936,0.13293,0.75959,0.000106246,0.000106246,0.000106246
189,266.84,0.2591,0.20323,0.84663,0.99861,1,0.995,0.99135,0.2009,0.12928,0.76055,9.91726e-05,9.91726e-05,9.91726e-05
190,268.221,0.25728,0.19663,0.82567,0.99861,1,0.995,0.99092,0.20065,0.1332,0.76055,9.20991e-05,9.20991e-05,9.20991e-05
191,270.704,0.19646,0.15256,0.78565,0.9986,1,0.995,0.99082,0.19241,0.12918,0.75909,8.50255e-05,8.50255e-05,8.50255e-05
192,272.123,0.18895,0.14913,0.79772,0.99768,1,0.995,0.99349,0.18214,0.12847,0.75714,7.7952e-05,7.7952e-05,7.7952e-05
193,273.597,0.18542,0.14676,0.78938,0.99768,1,0.995,0.99267,0.18333,0.13132,0.75741,7.08784e-05,7.08784e-05,7.08784e-05
194,274.985,0.18457,0.15173,0.79626,0.99765,1,0.995,0.9927,0.18898,0.12885,0.7585,6.38049e-05,6.38049e-05,6.38049e-05
195,276.391,0.17561,0.13952,0.79256,0.99759,1,0.995,0.99271,0.19611,0.13535,0.76004,5.67313e-05,5.67313e-05,5.67313e-05
196,277.779,0.18243,0.14696,0.79061,0.99867,1,0.995,0.9927,0.19251,0.1346,0.75908,4.96578e-05,4.96578e-05,4.96578e-05
197,279.139,0.17739,0.14675,0.80788,0.99755,1,0.995,0.99274,0.18875,0.13522,0.75866,4.25842e-05,4.25842e-05,4.25842e-05
198,280.563,0.16936,0.13206,0.78225,0.9976,1,0.995,0.9918,0.1838,0.13338,0.75741,3.55107e-05,3.55107e-05,3.55107e-05
199,281.955,0.17137,0.13503,0.77929,0.99766,1,0.995,0.9918,0.183,0.13397,0.75706,2.84371e-05,2.84371e-05,2.84371e-05
200,283.31,0.17517,0.13768,0.78825,0.99769,1,0.995,0.99263,0.1827,0.13389,0.75691,2.13636e-05,2.13636e-05,2.13636e-05
